,user,location,created_at,text,favorite_count,id_str,truncated,is_quote_status,retweet_count,entities,favorited,retweeted,date,time,time_bins,tags_in_text,hashtags_in_text
17,th3greenrvnger,Hong Kong,2021-01-14 18:28:21,"RT @DrChistina: Don’t look away from other people’s mental and emotional pain. 

Instead of pulling away, we need to be moving towards that…",0,1349785442598543360,False,False,13,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'DrChistina', 'name': 'Dr. Christina', 'id': 877222546076073984, 'id_str': '877222546076073984', 'indices': [3, 14]}], 'urls': []}",False,False,14,18,13-18,@DrChistina,
18,TelehealthBot,GJ 357 d,2021-01-14 18:27:17,RT @RTI_HealthIT: #ThrowbackThursday to #WorldMentalHealthDay (10/10/20) - Earlier @APA_Publishing article by @SairaNHaque discusses #teleh…,0,1349785174184255488,False,False,2,"{'hashtags': [{'text': 'ThrowbackThursday', 'indices': [18, 36]}, {'text': 'WorldMentalHealthDay', 'indices': [40, 61]}], 'symbols': [], 'user_mentions': [{'screen_name': 'RTI_HealthIT', 'name': 'RTI Health IT', 'id': 1197342463, 'id_str': '1197342463', 'indices': [3, 16]}, {'screen_name': 'APA_Publishing', 'name': 'Amer Psychiatric Pub', 'id': 19400875, 'id_str': '19400875', 'indices': [83, 98]}, {'screen_name': 'SairaNHaque', 'name': 'Saira Naim Haque, PhD', 'id': 302966112, 'id_str': '302966112', 'indices': [110, 122]}], 'urls': []}",False,False,14,18,13-18,"@RTI_HealthIT, @APA_Publishing, @SairaNHaque"," #ThrowbackThursday ,  #WorldMentalHealthDay ,  #teleh… "
19,RTI_HealthIT,"RTP, NC and worldwide",2021-01-14 18:26:00,#ThrowbackThursday to #WorldMentalHealthDay (10/10/20) - Earlier @APA_Publishing article by @SairaNHaque discusses… https://t.co/IErZcyUtBV,0,1349784848060317696,True,False,2,"{'hashtags': [{'text': 'ThrowbackThursday', 'indices': [0, 18]}, {'text': 'WorldMentalHealthDay', 'indices': [22, 43]}], 'symbols': [], 'user_mentions': [{'screen_name': 'APA_Publishing', 'name': 'Amer Psychiatric Pub', 'id': 19400875, 'id_str': '19400875', 'indices': [65, 80]}, {'screen_name': 'SairaNHaque', 'name': 'Saira Naim Haque, PhD', 'id': 302966112, 'id_str': '302966112', 'indices': [92, 104]}], 'urls': [{'url': 'https://t.co/IErZcyUtBV', 'expanded_url': 'https://twitter.com/i/web/status/1349784848060317697', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]}",False,False,14,18,13-18,"@APA_Publishing, @SairaNHaque"," #ThrowbackThursday ,  #WorldMentalHealthDay "
20,ImNotGonnaPay,Unknown,2021-01-14 18:21:34,RT @elashton: Seems a fitting piece to publish on #WorldMentalHealthDay - I've spent some time speaking to those affected by HMRC's loan ch…,0,1349783735344967680,False,False,343,"{'hashtags': [{'text': 'WorldMentalHealthDay', 'indices': [50, 71]}], 'symbols': [], 'user_mentions': [{'screen_name': 'elashton', 'name': 'Emily Ashton', 'id': 24758341, 'id_str': '24758341', 'indices': [3, 12]}], 'urls': []}",False,False,14,18,13-18,@elashton, #WorldMentalHealthDay 
21,mayamooyoo,Unknown,2021-01-14 18:00:08,"RT @EstRvp: Mental health is always a priority. Don’t look over those little things, beware of your words, take good care of your loved one…",0,1349778340358492160,False,False,318,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'EstRvp', 'name': 'est_rvp', 'id': 1260963719908974599, 'id_str': '1260963719908974599', 'indices': [3, 10]}], 'urls': []}",False,False,14,18,13-18,@EstRvp,
22,jaypex11,"Dallas, Tx",2021-01-14 17:29:02,"RT @xyvettee: Sometimes the worst place you can be at is in your own head. Don't be afraid to ask for help.

“Health does not always come f…",0,1349770512105402368,False,False,2,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'xyvettee', 'name': 'Vet', 'id': 1051895768615772161, 'id_str': '1051895768615772161', 'indices': [3, 12]}], 'urls': []}",False,False,14,17,13-18,@xyvettee,
23,vanesa11034821,"Lima, Peru",2021-01-14 16:49:30,RT @CCabelloNews: Camila via IGTV: “Today is #WorldMentalHealthDay! I am so excited to turn over my stories to three incredible grassroots…,0,1349760562792693760,False,False,397,"{'hashtags': [{'text': 'WorldMentalHealthDay', 'indices': [45, 66]}], 'symbols': [], 'user_mentions': [{'screen_name': 'CCabelloNews', 'name': 'Camila Cabello News', 'id': 3267440372, 'id_str': '3267440372', 'indices': [3, 16]}], 'urls': []}",False,False,14,16,13-18,@CCabelloNews, #WorldMentalHealthDay! 
24,taxpayer1011,Unknown,2021-01-14 15:37:15,RT @elashton: Seems a fitting piece to publish on #WorldMentalHealthDay - I've spent some time speaking to those affected by HMRC's loan ch…,0,1349742383794171904,False,False,343,"{'hashtags': [{'text': 'WorldMentalHealthDay', 'indices': [50, 71]}], 'symbols': [], 'user_mentions': [{'screen_name': 'elashton', 'name': 'Emily Ashton', 'id': 24758341, 'id_str': '24758341', 'indices': [3, 12]}], 'urls': []}",False,False,14,15,13-18,@elashton, #WorldMentalHealthDay 
25,HarmanAuthor,Sri Ganganagar India ,2021-01-14 14:41:10,"RT @ValorsLady: Once upon a time, I wrote to find a quiet place to escape the world. I still do sometimes, but now I also write hoping my h…",0,1349728269025742848,False,False,128,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'ValorsLady', 'name': '𝐓𝐫𝐢𝐜𝐞 𝐌𝐚𝐠𝐢𝐥𝐥', 'id': 2309196420, 'id_str': '2309196420', 'indices': [3, 14]}], 'urls': []}",False,False,14,14,13-18,@ValorsLady,
26,mamiskpopera,Unknown,2021-01-14 14:23:19,"RT @SMTOWNGLOBAL: SuperM to participate in online event run by 'World Health Organization' on Oct. 10 for World Mental Health Day!

To perf…",0,1349723776158556160,False,False,11384,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'SMTOWNGLOBAL', 'name': 'SMTOWN', 'id': 884378714, 'id_str': '884378714', 'indices': [3, 16]}], 'urls': []}",False,False,14,14,13-18,@SMTOWNGLOBAL,
27,EileenPCarry,°•.☀*o🎧*,2021-01-14 12:50:18,RT @mariammxviii: Today we acknowledge #WorldMentalHealthDay. This year has been trying for many. The main thing is to look after yourselve…,0,1349700365822930944,False,False,3,"{'hashtags': [{'text': 'WorldMentalHealthDay', 'indices': [39, 60]}], 'symbols': [], 'user_mentions': [{'screen_name': 'mariammxviii', 'name': 'Måria', 'id': 1071441259099697152, 'id_str': '1071441259099697152', 'indices': [3, 16]}], 'urls': []}",False,False,14,12,7-12,@mariammxviii, #WorldMentalHealthDay. 
28,MaddisonFaulkn3,Unknown,2021-01-14 12:33:39,RT @boxed_marketing: Tomorrow is #WorldMentalHealthDay - lockdown has affected many people’s #MentalHealth so make sure you take a moment t…,0,1349696175675359232,False,False,2,"{'hashtags': [{'text': 'WorldMentalHealthDay', 'indices': [33, 54]}, {'text': 'MentalHealth', 'indices': [93, 106]}], 'symbols': [], 'user_mentions': [{'screen_name': 'boxed_marketing', 'name': 'Boxed Marketing', 'id': 1278315598808780803, 'id_str': '1278315598808780803', 'indices': [3, 19]}], 'urls': []}",False,False,14,12,7-12,@boxed_marketing," #WorldMentalHealthDay ,  #MentalHealth "
29,N1ckHey,Unknown,2021-01-14 11:49:49,RT @YoungMindsUK: Mental health must be a priority in our schools. We’re calling on the Government to provide schools with an urgent fundin…,0,1349685146744745984,False,False,99,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'YoungMindsUK', 'name': 'YoungMinds', 'id': 25494294, 'id_str': '25494294', 'indices': [3, 16]}], 'urls': []}",False,False,14,11,7-12,@YoungMindsUK,
30,wegottadreaman,Unknown,2021-01-14 09:03:39,"RT @WHO: 🎶 It feels like the world is falling down and you can’t make it through. 
There’s gonna be BETTER DAYS 🎶
-@SuperM 

Let’s be kind…",0,1349643327763869696,False,False,13632,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'WHO', 'name': 'World Health Organization (WHO)', 'id': 14499829, 'id_str': '14499829', 'indices': [3, 7]}, {'screen_name': 'superm', 'name': 'SuperM', 'id': 1135806843773542401, 'id_str': '1135806843773542401', 'indices': [115, 122]}], 'urls': []}",False,False,14,9,7-12,"@WHO, @SuperM",
31,supermfess,Unknown,2021-01-14 09:02:03,"RT @WHO: TAEYONG said #BetterDaysForAll.

Yesss!!!
We agree wholeheartedly, @SuperM ❤️

#SuperMxWHO #SuperM
#WorldMentalHealthDay
#MoveForM…",0,1349642925202759680,False,False,10153,"{'hashtags': [{'text': 'BetterDaysForAll', 'indices': [22, 39]}, {'text': 'SuperMxWHO', 'indices': [88, 99]}, {'text': 'SuperM', 'indices': [100, 107]}, {'text': 'WorldMentalHealthDay', 'indices': [108, 129]}], 'symbols': [], 'user_mentions': [{'screen_name': 'WHO', 'name': 'World Health Organization (WHO)', 'id': 14499829, 'id_str': '14499829', 'indices': [3, 7]}, {'screen_name': 'superm', 'name': 'SuperM', 'id': 1135806843773542401, 'id_str': '1135806843773542401', 'indices': [76, 83]}], 'urls': []}",False,False,14,9,7-12,"@WHO, @SuperM"," #BetterDaysForAll. ,  #SuperMxWHO ,  #SuperM ,  #WorldMentalHealthDay ,  #MoveForM… "
32,supermfess,Unknown,2021-01-14 09:02:00,"RT @WHO: 🎶 It feels like the world is falling down and you can’t make it through. 
There’s gonna be BETTER DAYS 🎶
-@SuperM 

Let’s be kind…",0,1349642913706176512,False,False,13632,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'WHO', 'name': 'World Health Organization (WHO)', 'id': 14499829, 'id_str': '14499829', 'indices': [3, 7]}, {'screen_name': 'superm', 'name': 'SuperM', 'id': 1135806843773542401, 'id_str': '1135806843773542401', 'indices': [115, 122]}], 'urls': []}",False,False,14,9,7-12,"@WHO, @SuperM",
33,supermfess,Unknown,2021-01-14 09:01:58,"RT @WHO: There is gonna be BETTER DAYS for you. 

For you and me.
For all of us.
BETTER DAYS.

🌎🌍🌏

What a healing performance, @SuperM!

L…",0,1349642905997066240,False,False,14924,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'WHO', 'name': 'World Health Organization (WHO)', 'id': 14499829, 'id_str': '14499829', 'indices': [3, 7]}, {'screen_name': 'superm', 'name': 'SuperM', 'id': 1135806843773542401, 'id_str': '1135806843773542401', 'indices': [128, 135]}], 'urls': []}",False,False,14,9,7-12,"@WHO, @SuperM!",
34,supermfess,Unknown,2021-01-14 09:01:55,"RT @SMTOWNGLOBAL: #SuperM, the only K-pop act to participate in @WHO's Big Event for Mental Health, performs consoling stage for #WorldMent…",0,1349642890968895488,False,False,10347,"{'hashtags': [{'text': 'SuperM', 'indices': [18, 25]}], 'symbols': [], 'user_mentions': [{'screen_name': 'SMTOWNGLOBAL', 'name': 'SMTOWN', 'id': 884378714, 'id_str': '884378714', 'indices': [3, 16]}, {'screen_name': 'WHO', 'name': 'World Health Organization (WHO)', 'id': 14499829, 'id_str': '14499829', 'indices': [64, 68]}], 'urls': []}",False,False,14,9,7-12,"@SMTOWNGLOBAL, ""@WHOs"""," #SuperM, ,  #WorldMent… "
35,supermfess,Unknown,2021-01-14 09:01:52,"RT @WHO: .@SuperM brings us hope and healing in their performance of “Better Days”

Hope this stays in our mind for a very long time: 
🎶 Th…",0,1349642881158455296,False,False,6786,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'WHO', 'name': 'World Health Organization (WHO)', 'id': 14499829, 'id_str': '14499829', 'indices': [3, 7]}, {'screen_name': 'superm', 'name': 'SuperM', 'id': 1135806843773542401, 'id_str': '1135806843773542401', 'indices': [10, 17]}], 'urls': []}",False,False,14,9,7-12,"@WHO, @SuperM",
36,supermfess,Unknown,2021-01-14 09:01:49,"RT @superm: A Day with WHO, Let’s Look After our Mental Health with SuperM!

#SuperM #WHO @WHO
#WorldMentalHealthDay
#MoveForMentalHealth
#…",0,1349642866235109376,False,False,16572,"{'hashtags': [{'text': 'SuperM', 'indices': [77, 84]}, {'text': 'WHO', 'indices': [85, 89]}, {'text': 'WorldMentalHealthDay', 'indices': [95, 116]}, {'text': 'MoveForMentalHealth', 'indices': [117, 137]}], 'symbols': [], 'user_mentions': [{'screen_name': 'superm', 'name': 'SuperM', 'id': 1135806843773542401, 'id_str': '1135806843773542401', 'indices': [3, 10]}, {'screen_name': 'WHO', 'name': 'World Health Organization (WHO)', 'id': 14499829, 'id_str': '14499829', 'indices': [90, 94]}], 'urls': []}",False,False,14,9,7-12,"@superm, @WHO"," #SuperM ,  #WHO ,  #WorldMentalHealthDay ,  #MoveForMentalHealth ,  #… "
37,parul_mst,Unknown,2021-01-14 08:31:39,"SUPPORT FOR A  HEALTHY HEART
Supports Cardiovascular and Blood Healthy
Supports FOR A  HEALTHY HEART and
Circulator… https://t.co/A3Zv7veegV",0,1349635274314170368,True,False,0,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/A3Zv7veegV', 'expanded_url': 'https://twitter.com/i/web/status/1349635274314170372', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",False,False,14,8,7-12,,
38,MillieColette,London,2021-01-14 07:43:18,RT @MaryButlerTD: During challenging times it is important to be aware of the services supporting our young people. I launched this Mental…,0,1349623109981261824,False,False,18,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'MaryButlerTD', 'name': 'Mary Butler TD', 'id': 244689557, 'id_str': '244689557', 'indices': [3, 16]}], 'urls': []}",False,False,14,7,7-12,@MaryButlerTD,
39,sasikumar_22,Tirupathi ,2021-01-14 05:31:56,"RT @Abhyuday_IITB: Our mind makes us who we are! It's very important to take care of our mental health. Today, on #WorldMentalHealthDay, le…",0,1349590050086944768,False,False,11,"{'hashtags': [{'text': 'WorldMentalHealthDay', 'indices': [114, 135]}], 'symbols': [], 'user_mentions': [{'screen_name': 'Abhyuday_IITB', 'name': 'Abhyuday, IIT Bombay', 'id': 2359862953, 'id_str': '2359862953', 'indices': [3, 17]}], 'urls': []}",False,False,14,5,0-6,@Abhyuday_IITB," #WorldMentalHealthDay, "
40,amber_lynn1023,Unknown,2021-01-14 04:42:08,RT @MisElizaJane: Today is #WorldMentalHealthDay. One thing that always comes to mind when talking about mental health conditions is the st…,0,1349577517636718592,False,False,2023,"{'hashtags': [{'text': 'WorldMentalHealthDay', 'indices': [27, 48]}], 'symbols': [], 'user_mentions': [{'screen_name': 'MisElizaJane', 'name': 'Eliza Taylor', 'id': 35985504, 'id_str': '35985504', 'indices': [3, 16]}], 'urls': []}",False,False,14,4,0-6,@MisElizaJane, #WorldMentalHealthDay. 
41,lebalzin,Unknown,2021-01-13 23:53:35,"RT @OttoOvergaard: I have never
smiled so hard
in my life
until the day
I found
myself again

Melancholy Dreams:
Surviving the Battle
of De…",0,1349504898606497792,False,False,99,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'OttoOvergaard', 'name': 'Otto Overgaard', 'id': 991110037736128513, 'id_str': '991110037736128513', 'indices': [3, 17]}], 'urls': []}",False,False,13,23,19-23,@OttoOvergaard,
42,JohnathanJL316,"Inkster, MI",2021-01-13 23:30:10,"RT @DrBiden: On #WorldMentalHealthDay, so many families continue to struggle.  

All across our country, I hear from families who feel like…",0,1349499005705871360,False,False,3760,"{'hashtags': [{'text': 'WorldMentalHealthDay', 'indices': [16, 37]}], 'symbols': [], 'user_mentions': [{'screen_name': 'DrBiden', 'name': 'Dr. Jill Biden', 'id': 821784477076750338, 'id_str': '821784477076750338', 'indices': [3, 11]}], 'urls': []}",False,False,13,23,19-23,@DrBiden," #WorldMentalHealthDay, "
43,ivon_ehd1,Edmonton,2021-01-13 22:13:54,"RT @ZenZone_uk: It's OK to not be OK.

For relaxing music, find your Zen at https://t.co/3K27kL4tXP

#WMHD2020 #WorldMentalHealthDay #medit…",0,1349479813757616128,False,False,9,"{'hashtags': [{'text': 'WMHD2020', 'indices': [101, 110]}, {'text': 'WorldMentalHealthDay', 'indices': [111, 132]}], 'symbols': [], 'user_mentions': [{'screen_name': 'ZenZone_uk', 'name': 'ZenZone', 'id': 1183368098608504832, 'id_str': '1183368098608504832', 'indices': [3, 14]}], 'urls': [{'url': 'https://t.co/3K27kL4tXP', 'expanded_url': 'http://ZenZoned.com', 'display_url': 'ZenZoned.com', 'indices': [76, 99]}]}",False,False,13,22,19-23,@ZenZone_uk," #WMHD2020 ,  #WorldMentalHealthDay ,  #medit… "
44,ithinkimaloner,"Bristol, England",2021-01-13 21:53:55,RT @yungblud: you are not alone. you are heard. what you’re going through is real. take care today and every day. it can always get better.…,0,1349474786997624832,False,False,6917,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'yungblud', 'name': 'YUNGBLUD’s on mars', 'id': 1693633363, 'id_str': '1693633363', 'indices': [3, 12]}], 'urls': []}",False,False,13,21,19-23,@yungblud,
